2017-10-09 13:52:45.341 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-10-09 13:52:45.395 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@55cb6996, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1807e3f6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@480d3575, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f1da57d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@194fad1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@26abb146]
2017-10-09 13:52:45.587 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2017-10-09 13:52:46.433 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@7975d1d8: startup date [Mon Oct 09 13:52:46 CST 2017]; root of context hierarchy
2017-10-09 13:52:47.712 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
2017-10-09 13:52:47.720 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.2.14.Final}
2017-10-09 13:52:47.723 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2017-10-09 13:52:47.725 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2017-10-09 13:52:48.398 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2017-10-09 13:52:48.408 [main] INFO  o.hibernate.engine.jdbc.internal.LobCreatorBuilder - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-10-09 13:52:48.654 [main] INFO  o.h.e.t.internal.TransactionFactoryInitiator - HHH000399: Using default transaction strategy (direct JDBC transactions)
2017-10-09 13:52:48.666 [main] INFO  o.h.hql.internal.ast.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
2017-10-09 13:52:48.668 [main] WARN  org.hibernate.cfg.SettingsFactory - Unrecognized value for "hibernate.hbm2ddl.auto": none
2017-10-09 13:52:48.760 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 4.3.1.Final
2017-10-09 13:52:50.563 [main] DEBUG org.hibernate.SQL - select u.id,u.news_name as newsName,u.news_cover_url as newsCover, date_format(u.create_time,'%Y-%m-%d') as createTime from dlfm_news u where u.status=1 order by u.create_time desc limit ?
2017-10-09 13:52:50.973 [main] INFO  com.sharewin.xhmz.XhmzTest - [{"newsCover":"/static/upload/newsImages/20170929171618679.png","id":15,"createTime":"2017-09-29","newsName":"这是第二个测试活动"},{"newsCover":"/static/upload/newsImages/20170629160956244.png","id":14,"createTime":"2017-06-27","newsName":"这是一个测试新闻"}]
2017-10-09 13:52:50.978 [Thread-5] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@7975d1d8: startup date [Mon Oct 09 13:52:46 CST 2017]; root of context hierarchy
